,City ID,City,Country,Lat,Lon,Date (UTC),Clouds (%),Humidity (%),Max Temp (F),Wind Speed (mph)
158,317241,Demirci,TR,39.05,28.66,1599946530,64,75,63.66,8.0082319182
159,1273246,Deogarh,IN,21.53,84.73,1599946531,100,92,76.95,7.6950608376
160,1524606,Derzhavīnsk,KZ,51.1,66.32,1599946531,28,30,62.53,22.6154258919
161,1812961,Deyang,CN,31.13,104.38,1599946531,100,74,72.0,7.0016105877
162,1272970,Dhandhuka,IN,22.37,71.98,1599946531,88,77,83.53,15.457229763900001
163,1337612,Dhidhdhoo,MV,6.88,73.1,1599946531,90,79,81.84,29.6841445683
164,1507390,Dikson,RU,73.51,80.55,1599946531,98,89,44.87,50.5994988798
165,1714733,Dingle,PH,11.0,122.67,1599946000,14,89,75.65,7.247673579600001
166,1272517,Dirba,IN,30.07,75.98,1599946532,1,64,79.93,7.8069076521000005
167,160172,Dongobesh,TZ,-4.07,35.38,1599946532,34,76,55.47,25.5681817947
168,5067114,Douglas,US,41.3,-96.17,1599946532,75,56,73.99,7.5161059344
169,2191562,Dunedin,NZ,-45.87,170.5,1599946533,99,79,52.0,13.399248377100001
170,2344245,Dutse,NG,11.76,9.34,1599946370,99,73,77.7,32.5250536566
171,563708,Dzerzhinsk,RU,56.24,43.46,1599946533,53,93,48.2,9.9991052163
172,2024626,Dzhebariki-Khaya,RU,62.22,135.8,1599946533,52,73,49.03,0.2013242661
173,3529654,Dzilam González,MX,21.28,-88.93,1599946533,95,81,82.56,12.817644941700001
174,1006984,East London,ZA,-33.02,27.91,1599946006,3,36,76.33,31.5855404148
175,2024461,Ekimchan,RU,53.07,132.97,1599946534,0,84,53.67,4.496241942899999
176,3684683,El Carmen,CO,8.51,-73.45,1599946534,95,88,76.71,4.0935934107000005
177,198629,Eldoret,KE,0.52,35.27,1599946445,75,93,55.4,13.018969207800001
178,2167426,Emerald,AU,-23.53,148.17,1599946534,0,77,61.0,20.5127057793
179,1005544,Empangeni,ZA,-28.76,31.89,1599946534,2,82,65.73,30.0196850118
180,3664301,Envira,BR,-7.3,-70.22,1599946535,59,44,89.65,0.15658554030000002
181,315367,Erzurum Province,TR,40.0,41.5,1599946535,20,41,59.0,10.513600563
182,3464008,Esmeraldas,BR,-19.76,-44.31,1599946341,0,34,84.2,18.007337134500002
183,355449,Esna,EG,25.29,32.55,1599946535,0,18,88.66,22.3246241742
184,2071860,Esperance,AU,-33.87,121.9,1599946535,9,100,44.6,18.007337134500002
185,5949563,Esterhazy,CA,50.65,-102.08,1599946497,56,31,63.73,28.2301359798
186,3019441,Étaples,FR,50.52,1.63,1599946535,75,82,62.6,7.5161059344
187,5563397,Eureka,US,40.8,-124.16,1599946440,90,93,62.01,7.5161059344
188,4891382,Evanston,US,42.04,-87.69,1599946325,90,88,72.0,23.0180744241
189,5855051,‘Ewa Beach,US,21.32,-158.01,1599946536,40,58,86.0,20.5127057793
